COUNTRY,GDP(BILLIONS),CODE,Name,WHORegion,Cases-cumulativetotal,Cases-cumulativetotalper100000population,Cases-newlyreportedinlast7days,Cases-newlyreportedinlast7daysper100000population,Cases-newlyreportedinlast24hours,Deaths-cumulativetotal,Deaths-cumulativetotalper100000population,Deaths-newlyreportedinlast7days,Deaths-newlyreportedinlast7daysper100000population,Deaths-newlyreportedinlast24hours
Bahrain,34.05,BHR,Bahrain,Eastern Mediterranean,275394,16184.65,337,19.81,0,1390,81.69,1,0.06,0
Bangladesh,186.6,BGD,Bangladesh,South-East Asia,1561463,948.13,4705,2.86,645,27654,16.79,123,0.07,7
Barbados,4.28,BRB,Barbados,Americas,9823,3418.18,1643,571.73,300,85,29.58,16,5.57,1
Belarus,75.25,BLR,Belarus,Europe,551800,5839.57,13714,145.13,1983,4243,44.9,100,1.06,15
Belgium,527.8,BEL,Belgium,Europe,1258688,10923.8,10367,89.97,3,25665,222.74,53,0.46,1
Belize,1.67,BLZ,Belize,Americas,21893,5505.9,1325,333.23,208,426,107.14,17,4.28,2
Benin,9.24,BEN,Benin,Africa,24335,200.73,445,3.67,0,159,1.31,0,0,0
Bermuda,5.2,BMU,Bermuda,Americas,5455,8759.82,211,338.83,30,87,139.71,15,24.09,5
Bhutan,2.09,BTN,Bhutan,South-East Asia,2613,338.64,12,1.56,0,3,0.39,0,0,0
Bolivia,34.08,BOL,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bosnia and Herzegovina,19.55,BIH,Bosnia and Herzegovina,Europe,239400,7296.97,4625,140.97,942,10833,330.19,227,6.92,31
Botswana,16.3,BWA,Botswana,Africa,180438,7672.9,1218,51.79,241,2376,101.04,8,0.34,2
Brazil,2244,BRA,Brazil,Americas,21516967,10122.8,117421,55.24,17893,599359,281.97,3237,1.52,530
British Virgin Islands,1.1,VGB,British Virgin Islands,Americas,2725,9012.14,49,162.05,0,37,122.37,0,0,0
Brunei,17.43,BRN,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bulgaria,55.08,BGR,Bulgaria,Europe,516510,7430.21,14348,206.4,2302,21505,309.36,623,8.96,94
Burkina Faso,13.38,BFA,Burkina Faso,Africa,14403,68.9,160,0.77,0,195,0.93,11,0.05,0
Burundi,3.04,BDI,Burundi,Africa,19041,160.13,770,6.48,69,14,0.12,0,0,0
Cabo Verde,1.98,CPV,Cabo Verde,Africa,37808,6800.16,232,41.73,38,346,62.23,7,1.26,1
Cambodia,16.9,KHM,Cambodia,Western Pacific,114148,682.75,1497,8.95,224,2441,14.6,122,0.73,10
Cameroon,32.16,CMR,Cameroon,Africa,95399,359.37,3096,11.66,0,1517,5.71,58,0.22,0
Canada,1794,CAN,Canada,Americas,1647153,4364.23,27016,71.58,3733,28112,74.48,293,0.78,62
