,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
1961,12262,12063,24325,9569,อภ.ภูซาง,1
1962,9777,9833,19610,5863,อภ.ภูผาม่าน,1
1963,17796,18144,35940,12511,อภ.ภูพาน,1
1964,27218,27561,54779,16020,อภ.ภูสิงห์,1
1965,12390,12656,25046,7833,อภ.ภูหลวง,1
1966,55072,53365,108437,35494,อภ.ภูเขียว,1
1967,18160,17769,35929,13744,อภ.ภูเพียง,1
1968,9721,10048,19769,7339,อภ.ภูเรือ,1
1969,34685,34245,68930,20551,อภ.ภูเวียง,1
1970,24968,24790,49758,22171,อภ.มวกเหล็ก,1
1971,25709,25724,51433,14578,อภ.มหาชนะชัย,1
1972,7055,6422,13477,5107,อภ.มหาราช,1
1973,15601,15167,30768,13576,อภ.มะขาม,1
1974,9075,9479,18554,6414,อภ.มะนัง,1
1975,33600,32995,66595,21884,อภ.มัญจาคีรี,1
1976,28610,27878,56488,12939,อภ.มายอ,1
1977,12381,11356,23737,8962,อภ.มโนรมย์,1
1978,40698,40787,81485,22951,อภ.ม่วงสามสิบ,1
1979,45345,45272,90617,22359,อภ.ยะรัง,1
1980,35606,35219,70825,16296,อภ.ยะหริ่ง,1
1981,30918,31083,62001,14643,อภ.ยะหา,1
1982,14766,14908,29674,7631,อภ.ยางชุมน้อย,1
1983,41554,39963,81517,24432,อภ.ยางตลาด,1
1984,17632,17422,35054,9809,อภ.ยางสีสุราช,1
1985,22482,21835,44317,10622,อภ.ยี่งอ,1
1986,28922,27854,56776,18013,อภ.ย่านตาขาว,1
1987,39992,38597,78589,17721,อภ.ระแงะ,1
1988,24563,23921,48484,19566,อภ.ระโนด,1
1989,43584,43299,86883,23055,อภ.รัตนบุรี,1
1990,18973,19084,38057,13118,อภ.รัตนวาปี,1
1991,34139,33733,67872,22260,อภ.รัตภูมิ,1
1992,13643,13313,26956,9926,อภ.รัษฎา,1
1993,6485,6211,12696,4806,อภ.ราชสาส์น,1
1994,43750,42868,86618,20912,อภ.รามัน,1
1995,38058,37859,75917,20272,อภ.ราษีไศล,1
1996,33588,33336,66924,15961,อภ.รือเสาะ,1
1997,5273,5156,10429,3304,อภ.ร่องคำ,1
1998,30883,30691,61574,20405,อภ.ร่อนพิบูลย์,1
1999,18397,17032,35429,12706,อภ.ร้องกวาง,1
2000,15334,15138,30472,11455,อภ.ลอง,1
2001,34590,34193,68783,21283,อภ.ละงู,1
2002,9726,9752,19478,5823,อภ.ละหานทราย,1
2003,6215,6339,12554,5603,อภ.ละอุ่น,1
2004,13123,13183,26306,11958,อภ.ละแม,1
