latitude,longitude,geoid_height
4.1501,96.2542,-35.519
4.1501,96.2683,-35.462
4.1501,96.2824,-35.402
4.1501,96.2965,-35.337
4.1501,96.3107,-35.27
4.1501,96.3248,-35.2
4.1501,96.3389,-35.127
4.1501,96.353,-35.05
4.1501,96.3671,-34.966
4.1501,96.3813,-34.875
4.1501,96.3954,-34.777
4.1501,96.4095,-34.67
4.1501,96.4236,-34.559
4.1501,96.4377,-34.44
4.1501,96.4519,-34.316
4.1501,96.466,-34.189
4.1501,96.4801,-34.059
4.1501,96.4942,-33.93
4.1501,96.5083,-33.801
4.1501,96.5225,-33.676
4.1501,96.5366,-33.555
4.1501,96.5507,-33.441
4.1501,96.5648,-33.335
4.1501,96.5789,-33.235
4.1501,96.5931,-33.144
4.1501,96.6072,-33.059
4.1501,96.6213,-32.979
4.1501,96.6354,-32.905
4.1501,96.6496,-32.837
4.1501,96.6637,-32.772
4.1501,96.6778,-32.709
4.1501,96.6919,-32.651
4.1501,96.706,-32.596
4.1501,96.7202,-32.546
4.1501,96.7343,-32.5
4.1501,96.7484,-32.461
4.1501,96.7625,-32.426
4.1501,96.7766,-32.395
4.1501,96.7908,-32.366
4.1501,96.8049,-32.34
4.1501,96.819,-32.314
4.1501,96.8331,-32.288
4.1501,96.8472,-32.263
4.1501,96.8614,-32.237
4.1501,96.8755,-32.21
4.1501,96.8896,-32.183
4.1501,96.9037,-32.154
4.1501,96.9178,-32.127
4.1501,96.932,-32.1
4.1501,96.9461,-32.069
4.1501,96.9602,-32.039
4.1501,96.9743,-32.007
4.1501,96.9884,-31.975
4.1651,96,-36.91
4.1651,96.0141,-36.81
4.1651,96.0282,-36.717
4.1651,96.0424,-36.629
4.1651,96.0565,-36.547
4.1651,96.0706,-36.468
4.1651,96.0847,-36.392
4.1651,96.0988,-36.321
4.1651,96.113,-36.254
4.1651,96.1271,-36.19
4.1651,96.1412,-36.127
4.1651,96.1553,-36.064
4.1651,96.1694,-35.999
4.1651,96.1836,-35.937
4.1651,96.1977,-35.878
4.1651,96.2118,-35.822
4.1651,96.2259,-35.768
4.1651,96.2401,-35.714
4.1651,96.2542,-35.659
4.1651,96.2683,-35.601
4.1651,96.2824,-35.539
4.1651,96.2965,-35.475
4.1651,96.3107,-35.408
4.1651,96.3248,-35.337
4.1651,96.3389,-35.264
4.1651,96.353,-35.186
4.1651,96.3671,-35.101
4.1651,96.3813,-35.011
4.1651,96.3954,-34.915
4.1651,96.4095,-34.811
4.1651,96.4236,-34.701
4.1651,96.4377,-34.584
4.1651,96.4519,-34.461
4.1651,96.466,-34.336
4.1651,96.4801,-34.209
4.1651,96.4942,-34.081
4.1651,96.5083,-33.954
4.1651,96.5225,-33.831
4.1651,96.5366,-33.71
4.1651,96.5507,-33.596
4.1651,96.5648,-33.49
4.1651,96.5789,-33.391
4.1651,96.5931,-33.3
4.1651,96.6072,-33.215
4.1651,96.6213,-33.137
4.1651,96.6354,-33.066
4.1651,96.6496,-32.997
4.1651,96.6637,-32.934
4.1651,96.6778,-32.874
4.1651,96.6919,-32.817
4.1651,96.706,-32.762
4.1651,96.7202,-32.709
4.1651,96.7343,-32.662
4.1651,96.7484,-32.619
4.1651,96.7625,-32.579
4.1651,96.7766,-32.541
4.1651,96.7908,-32.507
4.1651,96.8049,-32.474
4.1651,96.819,-32.44
4.1651,96.8331,-32.407
4.1651,96.8472,-32.374
4.1651,96.8614,-32.34
4.1651,96.8755,-32.307
4.1651,96.8896,-32.273
4.1651,96.9037,-32.241
4.1651,96.9178,-32.208
4.1651,96.932,-32.175
4.1651,96.9461,-32.143
4.1651,96.9602,-32.108
4.1651,96.9743,-32.072
4.1651,96.9884,-32.034
4.1802,96,-37.006
