index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
350,ทต.ท่าไม้,TH/W_/71/ทต.ท่าไม้,TH/W_/71,9175,4731,4444,3847
351,ทต.ท้องเนียน,TH/S_/นครศรีธรรมราช/ทต.ท้องเนียน,TH/S_/นครศรีธรรมราช,5576,2793,2783,3253
352,ทต.ท้ายดง,TH/CT/67/ทต.ท้ายดง,TH/CT/67,3467,1785,1682,1061
353,ทต.ท้ายเหมือง,TH/S_/82/ทต.ท้ายเหมือง,TH/S_/82,3318,1719,1599,1744
354,ทต.ท้าวอู่ทอง,TH/CT/72/ทต.ท้าวอู่ทอง,TH/CT/72,15843,8158,7685,5812
355,ทต.ธงธานี,TH/NE/45/ทต.ธงธานี,TH/NE/45,7774,4015,3759,2490
356,ทต.ธรรมศาลา,TH/CT/73/ทต.ธรรมศาลา,TH/CT/73,6939,3643,3296,2970
357,ทต.ธัญญา,TH/NE/46/ทต.ธัญญา,TH/NE/46,6348,3232,3116,1699
358,ทต.ธัญบุรี,TH/CT/ปทุมธานี/ทต.ธัญบุรี,TH/CT/ปทุมธานี,63070,33108,29962,33989
359,ทต.ธาตุ,TH/NE/42/ทต.ธาตุ,TH/NE/42,9785,4917,4868,3364
360,ทต.ธาตุทอง,TH/E_/ชลบุรี/ทต.ธาตุทอง,TH/E_/ชลบุรี,7869,4000,3869,2721
361,ทต.ธาตุพนม,TH/NE/48/ทต.ธาตุพนม,TH/NE/48,10031,5157,4874,4113
362,ทต.นครชัยศรี,TH/CT/73/ทต.นครชัยศรี,TH/CT/73,8183,4427,3756,5052
363,ทต.นครชุม,TH/CT/62/ทต.นครชุม,TH/CT/62,6890,3653,3237,3454
364,ทต.นครหลวง,TH/CT/14/ทต.นครหลวง,TH/CT/14,6969,3650,3319,3027
365,ทต.นครเนื่องเขต,TH/E_/24/ทต.นครเนื่องเขต,TH/E_/24,1475,780,695,496
366,ทต.นครไทย,TH/CT/65/ทต.นครไทย,TH/CT/65,9036,4661,4375,4088
367,ทต.นากลาง,TH/NE/39/ทต.นากลาง,TH/NE/39,20213,10266,9947,6601
368,ทต.นาขาม,TH/NE/46/ทต.นาขาม,TH/NE/46,12963,6541,6422,3366
369,ทต.นาข่า,TH/NE/41/ทต.นาข่า,TH/NE/41,6441,3315,3126,2565
370,ทต.นาคำไฮ,TH/NE/39/ทต.นาคำไฮ,TH/NE/39,4997,2518,2479,1427
371,ทต.นาคู,TH/NE/46/ทต.นาคู,TH/NE/46,5324,2773,2551,1913
372,ทต.นางบวช,TH/CT/72/ทต.นางบวช,TH/CT/72,4374,2260,2114,1624
373,ทต.นางลือ,TH/CT/18/ทต.นางลือ,TH/CT/18,7579,3982,3597,2570
374,ทต.นางัว,TH/NE/41/ทต.นางัว,TH/NE/41,9105,4605,4500,3410
375,ทต.นางั่ว,TH/CT/67/ทต.นางั่ว,TH/CT/67,12859,6792,6067,5647
376,ทต.นางแล,TH/N_/57/ทต.นางแล,TH/N_/57,11648,6062,5586,5737
377,ทต.นาจอมเทียน,TH/E_/ชลบุรี/ทต.นาจอมเทียน,TH/E_/ชลบุรี,8026,4237,3789,15653
378,ทต.นาจะหลวย,TH/NE/34/ทต.นาจะหลวย,TH/NE/34,7306,3638,3668,2637
379,ทต.นาจารย์,TH/NE/46/ทต.นาจารย์,TH/NE/46,8487,4259,4228,2493
380,ทต.นาดอกคำ,TH/NE/42/ทต.นาดอกคำ,TH/NE/42,10002,4933,5069,3021
381,ทต.นาดินดำ,TH/NE/42/ทต.นาดินดำ,TH/NE/42,10660,5306,5354,3665
382,ทต.นาดี,TH/E_/25/ทต.นาดี,TH/E_/25,7922,4022,3900,3306
383,ทต.นาดี,TH/CT/74/ทต.นาดี,TH/CT/74,28095,14813,13282,16548
384,ทต.นาดูน,TH/NE/44/ทต.นาดูน,TH/NE/44,4734,2346,2388,1773
